Original_Feature,Mean_Abs_SHAP
business_type,0.100567194039886
rating_year,0.07164830474802802
postcode_area,0.057436072480358084
coordinates_missing,0.03081404573187748
longitude,0.012916626323393967
latitude,0.01217374562924571
rating_month,0.00671844409652514
