Threshold,Precision,Recall,F1
0.1,0.036680505785593634,0.9891868880374628,0.07073794447150511
0.15,0.039818816776736626,0.9805023414218816,0.07652971374457976
0.2,0.043138936209768296,0.9680715197956578,0.08259719881443599
0.25,0.04689053005045104,0.9519795657726692,0.08937864217367322
0.3,0.05092508637084362,0.9324819071945508,0.09657592832641111
0.35,0.0552078828206825,0.902085994040017,0.1040480025140433
0.4,0.060284503239422506,0.8706683695189442,0.11276147628656809
0.45,0.06602576714587136,0.8286079182630907,0.12230586520214651
0.5,0.07273061315781065,0.7752234993614304,0.13298474436403204
0.55,0.08120649651972157,0.7151979565772669,0.14585232452142205
0.6,0.0912073889530291,0.6389953171562367,0.1596299053493566
0.65,0.10306653382043618,0.5548744146445296,0.17384229620145114
0.7,0.1177940505421438,0.4615581098339719,0.18768825952982723
0.75,0.13445540102142423,0.35640698169433804,0.19525164419982274
0.8,0.15913578157612682,0.24018731375053215,0.19143593919652552
0.85,0.1894906432023795,0.13018305661983823,0.15433531846169377
0.9,0.23177317731773178,0.04384844614729672,0.07374525667645164
