Threshold,Precision,Recall,F1
0.1,0.03113320406479696,0.999318859088974,0.06038514372147822
0.15,0.03201403175175602,0.9977011494252873,0.062037419395826056
0.2,0.03315349660465987,0.99514687100894,0.0641691852852284
0.25,0.03559839634648038,0.9835674755214985,0.0687099633015518
0.3,0.0397579827230441,0.9679012345679012,0.07637860082304526
0.35,0.04641664193174835,0.945338441890166,0.08848845179080925
0.4,0.0529015521129667,0.9167305236270753,0.10003065860252515
0.45,0.059434308375893176,0.8689655172413793,0.11125888457681071
0.5,0.06852021110357638,0.7914857386121754,0.12612184814093735
0.55,0.08579934239758287,0.6576415495955726,0.15179475085733377
0.6,0.11073065768547105,0.5038739889314602,0.18156158920079768
0.65,0.1604771983836829,0.28403575989782887,0.20508406848430824
0.7,0.2384885401610572,0.0983397190293742,0.13925729442970822
0.75,0.3228200371057514,0.02962962962962963,0.054277470170786865
0.8,0.5,0.00017028522775649213,0.0003404545067665333
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
