Model,Accuracy,Precision,Recall,F1,PR-AUC,ROC-AUC,F1 Gap
Weighted Logistic Regression,0.6953273813656028,0.07273102445296364,0.7752234993614303,0.13298529166817594,0.12139245926461877,0.8098135370810775,0.00099600677038289
Decision Tree,0.9441225219335138,0.11326891831614601,0.12498935717326523,0.11882679493789339,0.04307904109319479,0.524644670191581,0.7878268032306303
Random Forest,0.9632462004520084,0.16999520639637627,0.0563644103873989,0.08462461618358519,0.07456991901479057,0.6940066296986771,0.8385651780246157
