Model,Precision,Recall,F1,PR-AUC,ROC-AUC,F1 Gap
Weighted Logistic Regression,0.07273102445296364,0.7752234993614303,0.13298529166817594,0.12139245926461877,0.8098135370810775,0.000996
Tuned Decision Tree,0.06842624227364404,0.76262239250745,0.1255712236243091,0.12180975013151736,0.7814173897093356,0.015867204222432763
Tuned Random Forest,0.06852210038857888,0.7914857386121754,0.1261246625660652,0.13308881819786667,0.8056770069133113,0.0039042755464763768
